SIRA NO;ENDEKS KODU;ENDEKSLER;ENDEKSLERIN INGILIZCE ISIMLERI;KUR TURU;TARIH;KAPANIS
ORDER;INDEX CODE;INDEX NAMES IN TURKISH;INDICES;CURRENCY TYPE;DATE;CLOSING VALUE
42;X030S_CFCNTLER;BIST 30 AGIRLIK SINIRLAMALI 10 GETIRI (EURO);BIST 30 CAPPED 10 RETURN (EURO);EUR;06/01/2023;2642.74
43;X030C_CFCNTLTL;BIST 30 AGIRLIK SINIRLAMALI 25 GETIRI;BIST 30 CAPPED 25 RETURN;TRY;06/01/2023;6276.09
44;X030C_CFCNTLUS;BIST 30 AGIRLIK SINIRLAMALI 25 GETIRI (ABD DOLARI);BIST 30 CAPPED 25 RETURN (USD);USD;06/01/2023;1947.82
45;X030C_CFCNTLER;BIST 30 AGIRLIK SINIRLAMALI 25 GETIRI (EURO);BIST 30 CAPPED 25 RETURN (EURO);EUR;06/01/2023;2172.28
46;X030EA;BIST 30 ESIT AGIRLIKLI GETIRI;BIST 30 EQUAL WEIGHTED RETURN;TRY;06/01/2023;12640.67
47;X030EA_CFENTLUS;BIST 30 ESIT AGIRLIKLI GETIRI (ABD DOLARI);BIST 30 EQUAL WEIGHTED RETURN (USD);USD;06/01/2023;3923.1
48;X030EA_CFENTLER;BIST 30 ESIT AGIRLIKLI GETIRI (EURO);BIST 30 EQUAL WEIGHTED RETURN (EURO);EUR;06/01/2023;4375.18
49;XK030EA;BIST KATILIM 30 ESIT AGIRLIKLI GETIRI;BIST PARTICIPATION 30 EQUAL WEIGHTED RETURN;TRY;06/01/2023;4964
50;XK030EA_CFENTLUS;BIST KATILIM 30 ESIT AGIRLIKLI GETIRI (ABD DOLARI);BIST PARTICIPATION 30 EQUAL WEIGHTED RETURN (USD);USD;06/01/2023;1540.6
51;XK030EA_CFENTLER;BIST KATILIM 30 ESIT AGIRLIKLI GETIRI (EURO);BIST PARTICIPATION 30 EQUAL WEIGHTED RETURN (EURO);EUR;06/01/2023;1718.14
52;XYLDZ_CFNNTLTL;BIST YILDIZ GETIRI;BIST STARS RETURN;TRY;06/01/2023;6827.29
53;XYLDZ_CFNNTLUS;BIST YILDIZ  GETIRI (ABD DOLARI);BIST STARS RETURN (USD);USD;06/01/2023;2118.88
54;XYLDZ_CFNNTLER;BIST YILDIZ  GETIRI (EURO);BIST STARS RETURN (EURO);EUR;06/01/2023;2363.06
55;XBANA_CFNNTLTL;BIST ANA GETIRI;BIST MAIN RETURN;TRY;06/01/2023;16000.68
56;XBANA_CFNNTLUS;BIST ANA GETIRI (ABD DOLARI);BIST MAIN RETURN (USD);USD;06/01/2023;4965.9
