SIRA NO;ENDEKS KODU;ENDEKSLER;ENDEKSLERIN INGILIZCE ISIMLERI;KUR TURU;TARIH;KAPANIS
ORDER;INDEX CODE;INDEX NAMES IN TURKISH;INDICES;CURRENCY TYPE;DATE;CLOSING VALUE
176;XTKJS_CFCNTLUS;BIST TEKNOLOJI AGIRLIK SINIRLAMALI GETIRI (ABD DOLARI);BIST TECHNOLOGY CAPPED RETURN (USD);USD;06/01/2023;4035.27
177;XTKJS_CFCNTLER;BIST TEKNOLOJI AGIRLIK SINIRLAMALI GETIRI (EURO);BIST TECHNOLOGY CAPPED RETURN (EURO);EUR;06/01/2023;4500.29
178;XBLSM_CFNNTLTL;BIST BILISIM GETIRI;BIST INF. TECHNOLOGY RETURN;TRY;06/01/2023;3568.66
179;XBLSM_CFNNTLUS;BIST BILISIM GETIRI (ABD DOLARI);BIST INF. TECHNOLOGY RETURN (USD);USD;06/01/2023;1107.55
180;XBLSM_CFNNTLER;BIST BILISIM GETIRI (EURO);BIST INF. TECHNOLOGY RETURN (EURO);EUR;06/01/2023;1235.18
181;XSADA_CFNNTLTL;BIST ADANA GETIRI;BIST ADANA RETURN;TRY;06/01/2023;139879.5
182;XSADA_CFNNTLUS;BIST ADANA GETIRI (ABD DOLARI);BIST ADANA RETURN (USD);USD;06/01/2023;43412.35
183;XSADA_CFNNTLER;BIST ADANA GETIRI (EURO);BIST ADANA RETURN (EURO);EUR;06/01/2023;48415.02
184;XSANK_CFNNTLTL;BIST ANKARA GETIRI;BIST ANKARA RETURN;TRY;06/01/2023;11247.24
185;XSANK_CFNNTLUS;BIST ANKARA GETIRI (ABD DOLARI);BIST ANKARA RETURN (USD);USD;06/01/2023;3490.64
186;XSANK_CFNNTLER;BIST ANKARA GETIRI (EURO);BIST ANKARA RETURN (EURO);EUR;06/01/2023;3892.89
187;XSANT_CFNNTLTL;BIST ANTALYA GETIRI;BIST ANTALYA RETURN;TRY;06/01/2023;8231.38
188;XSANT_CFNNTLUS;BIST ANTALYA GETIRI (ABD DOLARI);BIST ANTALYA RETURN (USD);USD;06/01/2023;2554.65
189;XSANT_CFNNTLER;BIST ANTALYA GETIRI (EURO);BIST ANTALYA RETURN (EURO);EUR;06/01/2023;2849.04
190;XSAYD_CFNNTLTL;BIST AYDIN GETIRI;BIST AYDIN RETURN;TRY;06/01/2023;3603.29
191;XSAYD_CFNNTLUS;BIST AYDIN GETIRI (ABD DOLARI);BIST AYDIN RETURN (USD);USD;06/01/2023;1118.3
192;XSAYD_CFNNTLER;BIST AYDIN GETIRI (EURO);BIST AYDIN RETURN (EURO);EUR;06/01/2023;1247.17
193;XSBAL_CFNNTLTL;BIST BALIKESIR GETIRI;BIST BALIKESIR RETURN;TRY;06/01/2023;7969.46
194;XSBAL_CFNNTLUS;BIST BALIKESIR GETIRI (ABD DOLARI);BIST BALIKESIR RETURN (USD);USD;06/01/2023;2473.37
195;XSBAL_CFNNTLER;BIST BALIKESIR GETIRI (EURO);BIST BALIKESIR RETURN (EURO);EUR;06/01/2023;2758.39
196;XSBUR_CFNNTLTL;BIST BURSA GETIRI;BIST BURSA RETURN;TRY;06/01/2023;19589.68
197;XSBUR_CFNNTLUS;BIST BURSA GETIRI (ABD DOLARI);BIST BURSA RETURN (USD);USD;06/01/2023;6079.76
198;XSBUR_CFNNTLER;BIST BURSA GETIRI (EURO);BIST BURSA RETURN (EURO);EUR;06/01/2023;6780.37
199;XSDNZ_CFNNTLTL;BIST DENIZLI GETIRI;BIST DENIZLI RETURN;TRY;06/01/2023;7066.92
200;XSDNZ_CFNNTLUS;BIST DENIZLI GETIRI (ABD DOLARI);BIST DENIZLI RETURN (USD);USD;06/01/2023;2193.26
201;XSDNZ_CFNNTLER;BIST DENIZLI GETIRI (EURO);BIST DENIZLI RETURN (EURO);EUR;06/01/2023;2446
202;XSIST_CFNNTLTL;BIST ISTANBUL GETIRI;BIST ISTANBUL RETURN;TRY;06/01/2023;8868.33
203;XSIST_CFNNTLUS;BIST ISTANBUL GETIRI (ABD DOLARI);BIST ISTANBUL RETURN (USD);USD;06/01/2023;2752.33
204;XSIST_CFNNTLER;BIST ISTANBUL GETIRI (EURO);BIST ISTANBUL RETURN (EURO);EUR;06/01/2023;3069.5
205;XSIZM_CFNNTLTL;BIST IZMIR GETIRI;BIST IZMIR RETURN;TRY;06/01/2023;16019.89
206;XSIZM_CFNNTLUS;BIST IZMIR GETIRI (ABD DOLARI);BIST IZMIR RETURN (USD);USD;06/01/2023;4971.86
207;XSIZM_CFNNTLER;BIST IZMIR GETIRI (EURO);BIST IZMIR RETURN (EURO);EUR;06/01/2023;5544.8
208;XSKAY_CFNNTLTL;BIST KAYSERI GETIRI;BIST KAYSERI RETURN;TRY;06/01/2023;31563.71
209;XSKAY_CFNNTLUS;BIST KAYSERI GETIRI (ABD DOLARI);BIST KAYSERI RETURN (USD);USD;06/01/2023;9795.96
210;XSKAY_CFNNTLER;BIST KAYSERI GETIRI (EURO);BIST KAYSERI RETURN (EURO);EUR;06/01/2023;10924.81
211;XSKOC_CFNNTLTL;BIST KOCAELI GETIRI;BIST KOCAELI RETURN;TRY;06/01/2023;32970.28
212;XSKOC_CFNNTLUS;BIST KOCAELI GETIRI (ABD DOLARI);BIST KOCAELI RETURN (USD);USD;06/01/2023;10232.5
213;XSKOC_CFNNTLER;BIST KOCAELI GETIRI (EURO);BIST KOCAELI RETURN (EURO);EUR;06/01/2023;11411.66
214;XSKON_CFNNTLTL;BIST KONYA GETIRI;BIST KONYA RETURN;TRY;06/01/2023;8297.45
215;XSKON_CFNNTLER;BIST KONYA GETIRI (EURO);BIST KONYA RETURN (EURO);EUR;06/01/2023;2871.91
216;XSKON_CFNNTLUS;BIST KONYA GETIRI (ABD DOLARI);BIST KONYA RETURN (USD);USD;06/01/2023;2575.16
217;XSMNS_CFNNTLTL;BIST MANISA GETIRI;BIST MANISA RETURN;TRY;06/01/2023;3834.87
218;XSMNS_CFNNTLUS;BIST MANISA GETIRI (ABD DOLARI);BIST MANISA RETURN (USD);USD;06/01/2023;1190.17
219;XSMNS_CFNNTLER;BIST MANISA GETIRI (EURO);BIST MANISA RETURN (EURO);EUR;06/01/2023;1327.32
220;XSTKR_CFNNTLTL;BIST TEKIRDAG GETIRI;BIST TEKIRDAG RETURN;TRY;06/01/2023;29720.16
221;XSTKR_CFNNTLUS;BIST TEKIRDAG GETIRI (ABD DOLARI);BIST TEKIRDAG RETURN (USD);USD;06/01/2023;9223.81
222;XSTKR_CFNNTLER;BIST TEKIRDAG GETIRI (EURO);BIST TEKIRDAG RETURN (EURO);EUR;06/01/2023;10286.73
