KAYIT SIRA;ENDEKS KODU;ENDEKSLER;ENDEKSLERIN INGILIZCE ISIMLERI;KUR TURU;TARIH;KAPANIS;ACILIS;EN DUSUK;EN YUKSEK
ORDER;INDEX CODE;INDEX NAMES IN TURKISH;INDICES;CURRENCY TYPE;DATE;CLOSING VALUE;OPEN VALUE;LOWEST VALUE;HIGHEST VALUE
1;XU100;BIST 100;BIST 100;TRY;06/01/2023;5341.96;5120.96;4961.31;5420.38
2;XU100_CFNPTLUS;BIST 100 (ABD DOLARI);BIST 100 (USD);USD;06/01/2023;1657.91;1657.91;1657.91;1657.91
3;XU100_CFNPTLER;BIST 100 (EURO);BIST 100 (EURO);EUR;06/01/2023;1848.96;1848.96;1848.96;1848.96
4;XU050;BIST 50;BIST 50;TRY;06/01/2023;4735.02;4543.62;4407.23;4809.96
5;XU050_CFNPTLUS;BIST 50 (ABD DOLARI);BIST 50 (USD);USD;06/01/2023;1469.54;1469.54;1469.54;1469.54
6;XU050_CFNPTLER;BIST 50 (EURO);BIST 50 (EURO);EUR;06/01/2023;1638.88;1638.88;1638.88;1638.88
7;XU030;BIST 30;BIST 30;TRY;06/01/2023;5799.09;5568.89;5404.57;5898.23
8;XU030_CFNPTLUS;BIST 30 (ABD DOLARI);BIST 30 (USD);USD;06/01/2023;1799.78;1799.78;1799.78;1799.78
9;XU030_CFNPTLER;BIST 30 (EURO);BIST 30 (EURO);EUR;06/01/2023;2007.18;2007.18;2007.18;2007.18
10;XLBNK;BIST LIKIT BANKA;BIST LIQUID BANKS;TRY;06/01/2023;4234.95;4081.26;3920.23;4327.82
11;XLBNK_CFNPTLUS;BIST LIKIT BANKA (ABD DOLARI);BIST LIQUID BANKS (USD);USD;06/01/2023;1314.34;1314.34;1314.34;1314.34
12;XLBNK_CFNPTLER;BIST LIKIT BANKA (EURO);BIST LIQUID BANKS (EURO);EUR;06/01/2023;1465.8;1465.8;1465.8;1465.8
13;X10XB;BIST BANKA DISI LIKIT 10;BIST LIQUID 10 EX BANKS;TRY;06/01/2023;7262.47;6944.35;6771.55;7388.64
14;X10XB_CFNPTLUS;BIST BANKA DISI LIKIT 10 (ABD DOLARI);BIST LIQUID 10 EX BANKS (USD);USD;06/01/2023;2253.95;2253.95;2253.95;2253.95
15;X10XB_CFNPTLER;BIST BANKA DISI LIKIT 10 (EURO);BIST LIQUID 10 EX BANKS (EURO);EUR;06/01/2023;2513.68;2513.68;2513.68;2513.68
16;XUTUM;BIST TUM;BIST ALL SHARES;TRY;06/01/2023;5903.26;5660.73;5474.18;5977.65
17;XUTUM_CFNPTLUS;BIST TUM (ABD DOLARI);BIST ALL SHARES (USD);USD;06/01/2023;1832.11;1832.11;1832.11;1832.11
18;XUTUM_CFNPTLER;BIST TUM (EURO);BIST ALL SHARES (EURO);EUR;06/01/2023;2043.23;2043.23;2043.23;2043.23
19;XELOT;BIST 50-30;BIST 50-30;TRY;06/01/2023;4795.17;4579.94;4420.31;4839.82
20;XELOT_CFNPTLUS;BIST 50-30 (ABD DOLARI);BIST 50-30 (USD);USD;06/01/2023;1488.21;1488.21;1488.21;1488.21
21;XELOT_CFNPTLER;BIST 50-30 (EURO);BIST 50-30 (EURO);EUR;06/01/2023;1659.7;1659.7;1659.7;1659.7
22;XELOS;BIST 50-30 AGIRLIK SINIRLAMALI 10;BIST 50-30 CAPPED 10;TRY;06/01/2023;4755.68;4542.22;4383.91;4799.96
23;XELOS_CFCPTLUS;BIST 50-30 AGIRLIK SINIRLAMALI 10 (ABD DOLARI);BIST 50-30 CAPPED 10 (USD);USD;06/01/2023;1475.95;1475.95;1475.95;1475.95
24;XELOS_CFCPTLER;BIST 50-30 AGIRLIK SINIRLAMALI 10 (EURO);BIST 50-30 CAPPED 10 (EURO);EUR;06/01/2023;1646.03;1646.03;1646.03;1646.03
25;XELOC;BIST 50-30 AGIRLIK SINIRLAMALI 25;BIST 50-30 CAPPED 25;TRY;06/01/2023;4793.36;4578.2;4418.64;4837.99
26;XELOC_CFCPTLUS;BIST 50-30 AGIRLIK SINIRLAMALI 25 (ABD DOLARI);BIST 50-30 CAPPED 25 (USD);USD;06/01/2023;1487.64;1487.64;1487.64;1487.64
27;XELOC_CFCPTLER;BIST 50-30 AGIRLIK SINIRLAMALI 25 (EURO);BIST 50-30 CAPPED 25 (EURO);EUR;06/01/2023;1659.07;1659.07;1659.07;1659.07
28;XYUZO;BIST 100-30;BIST 100-30;TRY;06/01/2023;9782.65;9333.39;8997.96;9861.73
29;XYUZO_CFNPTLUS;BIST 100-30 (ABD DOLARI);BIST 100-30 (USD);USD;06/01/2023;3036.1;3036.1;3036.1;3036.1
30;XYUZO_CFNPTLER;BIST 100-30 (EURO);BIST 100-30 (EURO);EUR;06/01/2023;3385.97;3385.97;3385.97;3385.97
31;XTUMY;BIST TUM-100;BIST ALL SHARES-100;TRY;06/01/2023;15452.17;14833.86;14241.98;15537.58
32;XTUMY_CFNPTLUS;BIST TUM-100 (ABD DOLARI);BIST ALL SHARES-100 (USD);USD;06/01/2023;4795.66;4795.66;4795.66;4795.66
33;XTUMY_CFNPTLER;BIST TUM-100 (EURO);BIST ALL SHARES-100 (EURO);EUR;06/01/2023;5348.3;5348.3;5348.3;5348.3
34;X100S;BIST 100 AGIRLIK SINIRLAMALI 10;BIST 100 CAPPED 10;TRY;06/01/2023;5343.05;5122.01;4962.32;5420.64
35;X100S_CFCPTLUS;BIST 100 AGIRLIK SINIRLAMALI 10 (ABD DOLARI);BIST 100 CAPPED 10 (USD);USD;06/01/2023;1658.24;1658.24;1658.24;1658.24
36;X100S_CFCPTLER;BIST 100 AGIRLIK SINIRLAMALI 10 (EURO);BIST 100 CAPPED 10 (EURO);EUR;06/01/2023;1849.33;1849.33;1849.33;1849.33
37;X100C;BIST 100 AGIRLIK SINIRLAMALI 25;BIST 100 CAPPED 25;TRY;06/01/2023;5341.96;5120.96;4961.31;5419.53
38;X100C_CFCPTLUS;BIST 100 AGIRLIK SINIRLAMALI 25 (ABD DOLARI);BIST 100 CAPPED 25 (USD);USD;06/01/2023;1657.91;1657.91;1657.91;1657.91
39;X100C_CFCPTLER;BIST 100 AGIRLIK SINIRLAMALI 25 (EURO);BIST 100 CAPPED 25 (EURO);EUR;06/01/2023;1848.96;1848.96;1848.96;1848.96
40;X030S;BIST 30 AGIRLIK SINIRLAMALI 10;BIST 30 CAPPED 10;TRY;06/01/2023;5913.23;5678.5;5510.95;6013.09
41;X030S_CFCPTLUS;BIST 30 AGIRLIK SINIRLAMALI 10 (ABD DOLARI);BIST 30 CAPPED 10 (USD);USD;06/01/2023;1835.2;1835.2;1835.2;1835.2
42;X030S_CFCPTLER;BIST 30 AGIRLIK SINIRLAMALI 10 (EURO);BIST 30 CAPPED 10 (EURO);EUR;06/01/2023;2046.68;2046.68;2046.68;2046.68
43;X030C;BIST 30 AGIRLIK SINIRLAMALI 25;BIST 30 CAPPED 25;TRY;06/01/2023;5799.09;5568.89;5404.57;5897.02
44;X030C_CFCPTLUS;BIST 30 AGIRLIK SINIRLAMALI 25 (ABD DOLARI);BIST 30 CAPPED 25 (USD);USD;06/01/2023;1799.78;1799.78;1799.78;1799.78
45;X030C_CFCPTLER;BIST 30 AGIRLIK SINIRLAMALI 25 (EURO);BIST 30 CAPPED 25 (EURO);EUR;06/01/2023;2007.18;2007.18;2007.18;2007.18
46;XYLDZ;BIST YILDIZ;BIST STARS;TRY;06/01/2023;5571.04;5339.29;5164.99;5645.44
47;XYLDZ_CFNPTLUS;BIST YILDIZ (ABD DOLARI);BIST STARS (USD);USD;06/01/2023;1729;1729;1729;1729
48;XYLDZ_CFNPTLER;BIST YILDIZ (EURO);BIST STARS (EURO);EUR;06/01/2023;1928.25;1928.25;1928.25;1928.25
49;XBANA;BIST ANA;BIST MAIN;TRY;06/01/2023;14976.26;14449.88;13905.78;15031.31
50;XBANA_CFNPTLUS;BIST ANA (ABD DOLARI);BIST MAIN (USD);USD;06/01/2023;4647.96;4647.96;4647.96;4647.96
