KAYIT SIRA;ENDEKS KODU;ENDEKSLER;ENDEKSLERIN INGILIZCE ISIMLERI;KUR TURU;TARIH;KAPANIS;ACILIS;EN DUSUK;EN YUKSEK
ORDER;INDEX CODE;INDEX NAMES IN TURKISH;INDICES;CURRENCY TYPE;DATE;CLOSING VALUE;OPEN VALUE;LOWEST VALUE;HIGHEST VALUE
90;XSD25_CFCPTLER;BIST SURDURULEBILIRLIK 25 (EURO);BIST SUSTAINABILITY 25 (EURO);EUR;06/01/2023;2191.04;2191.04;2191.04;2191.04
91;XUSIN;BIST SINAI;BIST INDUSTRIALS;TRY;06/01/2023;8551.57;8210.43;7945.96;8651.42
92;XUSIN_CFNPTLUS;BIST SINAI (ABD DOLARI);BIST INDUSTRIALS (USD);USD;06/01/2023;2654.02;2654.02;2654.02;2654.02
93;XUSIN_CFNPTLER;BIST SINAI (EURO);BIST INDUSTRIALS (EURO);EUR;06/01/2023;2959.86;2959.86;2959.86;2959.86
94;XGIDA;BIST GIDA ICECEK;BIST FOOD BEVERAGE;TRY;06/01/2023;5311.26;5037.65;4869.04;5320.81
95;XGIDA_CFNPTLUS;BIST GIDA ICECEK (ABD DOLARI);BIST FOOD BEVERAGE (USD);USD;06/01/2023;1648.38;1648.38;1648.38;1648.38
96;XGIDA_CFNPTLER;BIST GIDA ICECEK (EURO);BIST FOOD BEVERAGE (EURO);EUR;06/01/2023;1838.33;1838.33;1838.33;1838.33
97;XKMYA;BIST KIMYA PETROL PLASTIK;BIST CHEM. PETROL PLASTIC;TRY;06/01/2023;9317.71;8921.28;8720.58;9453.25
98;XKMYA_CFNPTLUS;BIST KIMYA PETROL PLASTIK (ABD DOLARI);BIST CHEM. PETROL PLASTIC (USD);USD;06/01/2023;2891.8;2891.8;2891.8;2891.8
99;XKMYA_CFNPTLER;BIST KIMYA PETROL PLASTIK (EURO);BIST CHEM. PETROL PLASTIC (EURO);EUR;06/01/2023;3225.04;3225.04;3225.04;3225.04
100;XMADN;BIST MADENCILIK;BIST MINING;TRY;06/01/2023;6608.42;6268.01;5931.62;6701.62
101;XMADN_CFNPTLUS;BIST MADENCILIK (ABD DOLARI);BIST MINING (USD);USD;06/01/2023;2050.96;2050.96;2050.96;2050.96
102;XMADN_CFNPTLER;BIST MADENCILIK (EURO);BIST MINING (EURO);EUR;06/01/2023;2287.3;2287.3;2287.3;2287.3
103;XMANA;BIST METAL ANA;BIST BASIC METAL;TRY;06/01/2023;12627.46;12111.38;11658.93;12811.71
104;XMANA_CFNPTLUS;BIST METAL ANA (ABD DOLARI);BIST BASIC METAL (USD);USD;06/01/2023;3919;3919;3919;3919
105;XMANA_CFNPTLER;BIST METAL ANA (EURO);BIST BASIC METAL (EURO);EUR;06/01/2023;4370.61;4370.61;4370.61;4370.61
106;XMESY;BIST METAL ESYA MAKINA;BIST METAL PRODUCTS MACH.;TRY;06/01/2023;12006.82;11714.05;11330.34;12150.48
107;XMESY_CFNPTLUS;BIST METAL ESYA MAKINA (ABD DOLARI);BIST METAL PRODUCTS MACH. (USD);USD;06/01/2023;3726.38;3726.38;3726.38;3726.38
108;XMESY_CFNPTLER;BIST METAL ESYA MAKINA (EURO);BIST METAL PRODUCTS MACH. (EURO);EUR;06/01/2023;4155.79;4155.79;4155.79;4155.79
